Entity,Scope,Affiliate  of,Country,City,Address,Cable Address,Phone,Start Year,End Year,Sources [Reformatting Pending],"Notes 1:  Beginning, Purpose, Other Characteristics","Notes 2:  Patrons, Founders, Officers, Membership; Continuing and Other Notes",Notes 3:  Overflow Notes and Asides  ,Special to Peter
 Osnabruck Northwest German Association for Aerial Navigation: Nordwestdeutscher Verein fur Luftschiffahrt,Regional,"DLV, 21 June 1909",Germany,"Osnabruck, Lower Saxony","4 Wittekindstrasse, Osnaburck",,,1909,"1910, name change","14(8) Deutsche Zeitschrift fur Luftschiffahrt 2 (20 Apr. 1910); 1911 Aero-Manuel 342 (1 Oct. 1910); Braunbeck's Sport-Lexicon: Luftschiffahrt 70, 140, 304 (1911); ","The Nordwestdeutscher Verein fur Luftschiffahrt or Northwest German Association for Aerial Navigation was founded at Osnabruck, Germany, on 4 April 1909.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, on 21 June 1909.  Ca. April 1910, the organization changed its name to Osnabrucker Verein fur Luftschiffahrt, which see.    ",Captain Otto Romberg was the first and only chairman of the Nordwestdeutscher Verein fur Luftschiffahrt.  ,,
Aberdeen Aero Club,Local,,"Scotland, GB, UK",Aberdeen,"387 Holburn Street, Aberdeen",,,1912 or earlier,,1913 Aviation P-B 161 (Jan. 1913);,,,,
Acadamy Aeronautic of France : Academie Aeronautique de France,National,"AFI, from at least early 1908 ???",France,Paris,"14 Rue des Goncourt, Paris (at least 1906-1907); 17 Rue de la Presentation (at least 1910-1920)",0, ,1902,1920 or later,"P-B of Aeronautics 441 (English ed., Jan. 1907); U.S. Dept. of Commerce and Labor, Bureau of Manufactures, Monthly Consular and Trade Reports No. 322 (July, 1907) 192-193; 1:5 Aeronautics 44 (1907); 1:6 Aeronautics 37 (1907); 2:3 Aeronautics 37 (1908); ""Flight"" Manual 14 (1910); 1911 Aero-Manuel 219, 437-438 (1 Oct. 1910); WorldCat.org and WorldCat-OCLC; Dir1920","The Academie Aéronautique de France was founded in 1902 and published statutes (constitution and by-laws) in 1903.  The purpose of the society, according to its constitution was the study of aerostation, aerial navigation, and of all sciences directly related thereto.  It desired to orgaize and conduct ascensions in which its members took part, to conduct technical experiments and ascensions of a scientific character, to educate trained aeronauts who could render competent service in time of war, and instruct young men in all that may be requisite to entitle them to admission in the ballon corps of the army.  It published the journal L'Aérostation (The Ballooning), quarterly, 1904-1907, and then appears to have published it monthly into 1914.  ","Membership was restricted to Frenchmen of adult age in possession of citizenship and members were drawn from the well-to-do, educated class.  Members were forbidden to assist in any ascension that had the character of a public exhibition including fairs and other places to which an admission fee was charged. By 1906, it possessed a club house, facilities for study including a library, and balloon stores.  The club's resources were used to provide ascensions for members and the number of ascensions in any given year was governed by its treasury.  In 1910 there were some 150 members including honorary members.  Honorary presidents, 1910:  Camille Dartois and Pierre Baudin.  Officers, 1910, included:  Victor Louet, president; Edouard Surcouf and Pillet, vice presidents; Berteau, general secretary; and Blondel, treasurer.  In addition to more than 30 officers and honorary members, there were some 120 regular and corresponding members in 1910.         ",,"[Re below:  When I need two colmns of notes for an entity, in many instances I have made an effort to keep Notes 1 and 2 somewhat equal in size.  Could do more with more time.  I will go back and italicize sources as appropriate at another time.]"
Academy of Aviation in Munich : Akademie fur Aviatik in Munchen,Local,"DLV, Dec. 1909",Germany,Munich,"5 Briennerstrasse, Munich I (1911); aerodrome at Puchheim near Munich (1911)",,,1909,,Braunbeck's Sport-Lexicon:  Luftschiffahrt 122 (1911),"The Akademie fur Aviatik in Munchen or Academy of Aviation in Munich was founded on 10 May 1909 as a society for the promotion and pursuit of aerial naviagtion.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, in December 1909.   ","The president in 1911 was Count Boos-Waldeck.  Other officers included Dr. James von Bleichroder and Karl Waitzfelder, vice presidents; and A. Tosolini, secretary.  There were 80 members and the academy had an an aerodrome at Pucheim near Munich. ","It appears that ca. 1910-1911, the Akademie was at the same address as the Bayerischer Automobil-Club. ",
Aerial Club of Indiana,Local,,USA,"Terre Haute, Indiana",no fixed address (1919),,,1919 or earlier,1920 or later,Goodyear 11 (1919); ,,,,"[Peter, Given that we are reading this on the computer, I like the idea of listing the name of the club etc. in the first column of notes as that would allow one to skim that column and know what was being discussed while at the same time one can see start and end years.  That, however, is editing I am not taking time for at present.]"
Aerial League (Liverpool),Local,,"England, GB, UK",Liverpool,"23 Abercromby Square, Liverpool",,,1910 or earlier,,"""Flight"" Manual 13 (1910); 1913 Aviation P-B 161 (Jan. 1913);",,,,
Aerial League (Plymouth),Local,,"England, GB, UK",Plymouth,"21 Lockyear Street, Plymouth",,,1910 or earlier,," ""Flight"" Manual 13 (1910); 1913 AviationP-B 161 (Jan. 1913);",,,,
Aerial League (Sheffield),Local,,"England, GB, UK",Sheffield,"Yorkshire Chambers, Angel Street,Sheffield",,,1910 or earlier,,"""Flight"" Manual 13 (1910); 1913 Aviation P-B 161 (Jan. 1913);",,,,
Aerial League (Southsea),Local,,"England, GB, UK",Southsea,"48 Palmerston Road, Southsea",,,1910 or earlier,," ""Flight"" Manual 13 (1910); 1913 Aviation P-B 161 (Jan. 1913);",,,,
Aerial League of America,National,"ACA, from at least July 1919", USA,"New York City, New York", ,0,1,1917 or earlier,appears to be 1941 or later,8 Flying 549 (1919); 9 Flying 50 (1920); Goodyear 11 (1920); Dir1920; WorldCat.org and WorldCat-OCLC; http://www.amphilsoc.org/mole/view?docId=ead/Mss.Ms.Coll.74-ead.xml;  http://ead.lib.virginia.edu/vivaead/published/vt/viblbv00007.frame; http://ahc.uwyo.edu/usearchives/inventories/html/wyu-ah06858.html; ,"Along with the Aero Club of America and the Pan-American Aeronautic Federation, held the Second Pan-American Exposition at Atlantic City, New Jersey, 1919. ","Correspondence from the Aerial League in 1917 is in the Elihu Thompson Papers at the American Philosphical society and in the Records of Joseph Dupuy Eggleston at Virginia Tech University.  Records of the Manufacturers Aircraft Association at the University of Wyoming contain files labeled ""Woodhouse, Henry – Aerial League of America, 1922-1941"" and ""Aerial League of America - Henry Woodhouse and Augustus Post,  1936.""  [the 1920 address is ACA; need to find out if ALA was at that address in 1920]",,
Aerial League of Australia,National,"RACUK, from at least 1912; FAI, from at least 1918;",Australia,"apparently Melbourne, then Sydney, New South Wales","74 Pitt Street, Sydney (1912); 17 Grosvenor Street, Sydney (at least 1918-1919)",,,1909,,5 Aeronautics 194 (1909); 1911 Aero-Manuel 222 (1 Oct. 1910); 1913 Aviation P-B 160 (Jan. 1913); 1918 Aviation P-B 273; 1919-1920 Aviation P-B 385 (1919);,Inaugural meeting 16 Aug. 1909.,,,
Aerial League of Canada,National,,Canada,"Vancouver, British Columbia",1404 Dominion Building Vancouver (1920),0,0,1920 or earlier,1920 or later,Dir1920, ,,,
Aerial League of Canada (Victoria Branch),Regional,,Canada,"Victoria, British Columbia",,,,1919 or earlier,,WorldCat.org and WorldCat-OCLC,Held aerial meet 11 June 1919.,,,
Aerial League of India,National,,"India, UK",Simla,,,,1910 or earlier,,"""Flight"" Manual 14 (1910); ",,,,
Aerial League of South Africa,National,,South Africa,Johannesburg,,,,1910 or earlier,,"""Flight"" Manual 14 (1910); ",,,,
