"Event name","type","place","Country","year","month","start day","days","Notes
(* = prominent in lit)","Sources","Main focus B/A/O (Ballooning/airship/dirigible; Aeronautics; or Other)"
"First Exhibition of the Aeronautical Society of Great Britain","exh","Crystal Palace, London","Br",1868,6,25,10,"78 exhibits ; prizes of at least 100 pounds; ; Stringfellow's steam engine+boiler weighed only 13 lbs. ; Stringfellow triplane model demo; started June 25 and went for ten more days","Penrose book; Brockett 1910 (#123290) p710 ; Aeronautical Journal, July 1908, pp 98-100",
"Aeronautical exhibition in Paris","exh","Paris","Fr",1883,6,"5",20,"days June 5-24 according to Science.","E.P. Frost reference in Brockett #59770 ; also the same thing republished apparently and not listed in Brockett: http://books.google.com/books?id=NhgfAQAAMAAJ&pg=PA941&lpg=PA941&dq=Aeronautical+exhibition+in+Paris+1883&source=bl&ots=b2dbPfKTjv&sig=aPJEfWWYh36IgHIRM5PKHJ7Ka8g&hl=en&sa=X&ei=RMgqULGCJ-eK6QGt64HABg&ved=0CDQQ6AEwAA#v=onepage&q=Aeronautical%20exhibition%20in%20Paris%201883&f=false ; also this reference in Science:  [http://books.google.com/books?id=doECAAAAYAAJ&lpg=PA150&ots=oe7Wh2TweA&dq=Aeronautical%20exhibition%20in%20Paris%201883&pg=PA150#v=onepage&q=Aeronautical%20exhibition%20in%20Paris%201883&f=false Notes and News]. ''Science'' II:26, Friday August 3, 1883, page 150 says ""The aeronautical exhibition was held in Paris, at the Palais du Trocadero, from June 5 to 24--one week longer than was the intention. There were a number of plans for flying-machines shown, but a strange lack of successful results.""","`"
"Aeronautical Exhibition of 1885","exh","Alexandra Palace","Br",1885,6,,,"Run by Aero Society of Great Britain ; 16 exhibits","Aeronautical Journal, July 1908, pp 98-100 ; Jurors' report of this exhibition:  http://books.google.com/books?id=h6wEAAAAQAAJ&lpg=RA1-PA89&ots=tNgV4GzmWu&dq=Aeronautical%20exhibition%20%201885%20Alexandra%20Palace&pg=RA1-PA89#v=onepage&q=Aeronautical%20exhibition%20%201885%20Alexandra%20Palace&f=false",
"Aeronautical Exhibition in Liverpool","exh","Liverpool, Britain","Br","1886?",,,,"Two authors wrote about it","Brockett 1910, p568, M#98480 (by Mck) ; and p150, M25520 (by Brearey)",
"Exposition of 1889?","exh","P",,"1889?",,,,"1889 OR 1899: source not clear but investigation can clarify","Brockett p18, B#233 (but listed title conflicts with publication date)",
"Aeronautical Navigation Conference; International Meteorological Congress; World's Fair","conf","Chicago (World's Fair)","US",1893,,,,"Zahm conceived; Chanute ran",,
"Antwerp Exhibition","exh","Antwerp","Belgium","1894?",,,,"there were navigable balloons there ","Brockett 1910, p619, B#107110",
"Congress of the Atmosphere","conf",,,"1894; 1895",,,,,"none identified yet",
"Leipzig Exhibition","exh",,,1897,,,,"had captive balloon","Brockett #29690",
"International Aeronautical Commission","conf","Strassburg",,1898,,,,,"none identified yet",
