Year granted,Where filed,Inventor(s),Tech field,Patent #,more date info,Title/summary in English,Sources,Notes,Original language patent title (or closest available info),Supplementary to patent ,related to aircraft?,date applied for,date granted,Serial no.,Global patent id,Assigned to [name (fraction); place],Patent agent,National/Local,International,
1815,br,"Pauly, Samuel John, and Durs Egg",,3909,ÿ,Aerial Conveyances and Vessels,BA1893,,Aerial Conveyances and Vessels,,1,,,,UK1815-3909,,,,,
1826,br,"Viney, James, and George Pocock",,5420,ÿ,Improved kites,BA1893,,Improved kites,,1,,,,,,,,,
1840,br,"Poole, Moses",,8337,ÿ,"Obtaining motive power for the propulsion of vessels, etc.",BA1893,,"Obtaining motive power for the propulsion of vessels, etc.",,1,,,,,,,,,
1842,br,"Henson, William Samuel",,9478,ÿ,Mechanical flying machine,BA1893,,Mechanical flying machine,,1,,,,,,,,,
1843,br,"Sunderland, Thomas",,9598,ÿ,Propelling ships and balloons,BA1893,,Propelling ships and balloons,,1,,,,,,,,,
1843,br,"Potts, Lawrence Holker",,9642,ÿ,Applications of balloons,BA1893,,Applications of balloons,,1,,,,,,,,,
1843,br,"Moat, William Crofton",,9856,ÿ,Aerial locomotion,BA1893,,Aerial locomotion,,1,,,,,,,,,
1847,br,"Newton, William Edward",,11578,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1848,br,"Bell, Hugh",,12337,ÿ,Navigable balloon and mechanical flying machine,BA1893,,Navigable balloon and mechanical flying machine,,1,,,,,,,,,
1849,br,"Browne, John",,12452,ÿ,Balloon railway,BA1893,,Balloon railway,,1,,,,,,,,,
1852,br,"Brown, David Stephens",,155,ÿ,Navigating ships,BA1893,,Navigating ships,,1,,,,,,,,,
1853,br,"De Manara, Horace",,143,ÿ,Applications of balloons,BA1893,,Applications of balloons,,1,,,,,,,,,
1853,br,"Johnson, John Henry",,179,ÿ,Navigable balloons,BA1893,,Navigable balloons,,1,,,,,,,,,
