"Year filed","Where filed","Who","Tech field","Patent #","more date info","Title/summary in English","Sources and notes  (see Sources worksheet for details)","Notes","Original language patent title (or closest available info)","Supplementary to","related to aircraft?","date applied for","date granted","Serial no.","Global patent id"
1912,"no","Wilcke, Richard (Fridenau v Berlin); Graff, Albert (Weissensee v Berlin) ",,22127,"Fra 1 feb 1910",,,,"Luftskib.",,1,,,,
"1912 book","no","Halvor Gaara av Bo/, Telemarken",,21987,"Fra 11 aug 1910",,,,"Styreindretning for flyvemaskiner",,1,,,,
1912,"no","Wilcke, Richard (Fridenau v Berlin); Graff, Albert (Weissensee v Berlin) ",,22128,"1910/02/01",,,,"Luftskib.",,1,,,,
1912,"no","Wilcke, Richard (Fridenau v Berlin); Graff, Albert (Weissensee v Berlin) ",,22129,,,,,"Propeller for luftskibe",,1,,,,
1912,"no","Aurel Vliacu av Bukarest",,22238,"Fra 19 nov 1910",,,,"Flyvemaskin med pilformet legeme",,1,,,,
1912,"no","Hans Gunderson av Fredrikshald",,22259,"Fra 17 juli 1911",,,,"Anordninger ved flyvemaskiner",,1,,,,
1912,"no","Lewis Ginter Young av New York",,22260,"Fra 26 aug 1911",,,,"Flyvemaskin",,1,,,,
1912,"no","August Wendtland av Wiesbaden, Tyskland",,22349,"Fra 24 april 1911",,,,"Drivanordning for aeroplaner og lign",,1,,,,
1912,"no","Andre/ Julien Mahoudeau de Villethiou av Paris",,22350,"Fra 18 dec 1911",,,,"Anordning ved drivskruer og lign",,1,,,,
1912,"no","Luft-Verkehrs-Gesellschaft m. b. H. av Charlottenburg, Tyskland. ",,22466,"Fra 12 sep 1911",,,,"Anordning til ophoengning av gondoler for luftfarto/ier",,1,,,,
1912,"no","John Washington Wilson av Boston USA",,22518,"Fra 22 dec 1909",,,,"Flyvemaskin",,1,,,,
1912,"no","Adolphe Doutre av Paris",,22519,"Fra 26 jun 1911",,,,"Anordninger ved flyvemaskiner",,1,,,,
1912,"no","Thomas Augustus Dring av Trowbridge, England",,22617,"Fra 14 mai 1910",,,,"Flyvemaskin",,1,,,,
1912,"no","William Swart Romme av New-York",,22655,"Fra 12 jul 1910",,,,"Flyvemaskin",,1,,,,
1911,"no","Michel Vinogradow av Alfort, Frankrige",,21148,"Fra 11 aug 1909",,,,"Luft- og hydraulisk propeller",,1,,,,
1911,"no","Todd Churchill Wodworth av Williams, Arizona, USA",,21349,"Fra 12 jan 1909",,,,"Anordninger ed flyvemaskiner",,1,,,,
1911,"no","Arthur Henry Edwards og Martin Diederick Rucker av London",,21406,"Fra 14 apr 1909",,,,"Anordning ved aeroplaner og lignende mekaniske flyvemaskiner",,1,,,,
1911,"no","Hugo Erdmann av Charlottenburg v/Berlin",,21585,"Fra 22 feb 1910",,,,"Anvendelse av flytende vandslof i luftskibsfarten",,1,,,,
1911,"no","Nicolaus de Benois av St. Petersburg",,21587,"Fra 30 mai 1910",,,,"Anordning ved aeroplaner  ",,1,,,,
1911,"no","Alfons Weiss av Urnitz, Tyskland",,21819,"Fra 10 feb 1911",,,,"Anvendelse av et horisontalgyroskop ved flyvemaskiner for at hindre kantring",,1,,,,
1910,"no","Alfred Wunderlich av Bryssel",,19928,"Fra 28 jan 1908",,,,"Motor-flyvemaskin",,1,,,,
1910,"no","E. Forlanini av Milano",,20078,"Fra 10 apr 1905",,,,"Flyveskib (hydroplan)",,1,,,,
1910,"no","Alonzo Perry Blivan av Brooklyn",,20079,"Fra 28 nov 1907",,,,"Anordninger ved styrbare luftskibe",,1,,,,
1910,"no","O. Simensen og A. Colban av Kristiania",,20080,"Fra 23 juni 1909",,,,"Sammenpakbar papirdrage",,1,,,,
1910,"no","Halvor Gaara av Bo/, Telemarken",,20421,"Fra 20 dec 1909",,,,"Styreindretning for flyvemaskiner og lignende maskiner",,1,,,,
1910,"no","Halvor Gaara av Bo/, Telemarken",,20444,"(Tillaeg til pat.-nr.20421)  Fra 20 dec 1909",,,,"Anordning ved styreindretning for flyvemaskiner og lignende maskiner","20421??",1,,,,
1910,"no","Nils Anton Pedersen Saubo av Sandfjord",,20478,"Fra 10 nov 1909",,,,"Flyvemaskin",,1,,,,
1910,"no","Frederich Carl Meyer og August Ernst Grimmer av Berlin",,20744,"Fra 4 feb 1910",,,,"Faldskjoerm for luftskippere",,1,,,,
