Year protection applied,Where filed,Who,Tech field,Patent #,more date info,Title/summary in English,Sources and notes  (see Sources worksheet for details),Original language patent title (or closest available info),Supplementary to,related to aircraft?,date applied for,date granted,Global patent id,,,,,
1815,br,"Pauly, Samuel John, and Durs Egg",,3909, ,Aerial Conveyances and Vessels,BA1893,Aerial Conveyances and Vessels,,1,,,UK1815-3909,,,,,
1826,br,"Viney, James, and George Pocock",,5420, ,Improved kites,BA1893,Improved kites,,1,,,,,,,,
1840,br,"Poole, Moses",,8337, ,"Obtaining motive power for the propulsion of vessels, etc.",BA1893,"Obtaining motive power for the propulsion of vessels, etc.",,1,,,,,,,,
1842,br,"Henson, William Samuel",,9478, ,Mechanical flying machine,BA1893,Mechanical flying machine,,1,,,,,,,,
1843,br,"Sunderland, Thomas",,9598, ,Propelling ships and balloons,BA1893,Propelling ships and balloons,,1,,,,,,,,
1843,br,"Potts, Lawrence Holker",,9642, ,Applications of balloons,BA1893,Applications of balloons,,1,,,,,,,,
1843,br,"Moat, William Crofton",,9856, ,Aerial locomotion,BA1893,Aerial locomotion,,1,,,,,,,,
1847,br,"Newton, William Edward",,11578, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1848,br,"Bell, Hugh",,12337, ,Navigable balloon and mechanical flying machine,BA1893,Navigable balloon and mechanical flying machine,,1,,,,,,,,
1849,br,"Browne, John",,12452, ,Balloon railway,BA1893,Balloon railway,,1,,,,,,,,
1852,br,"Brown, David Stephens",,155, ,Navigating ships,BA1893,Navigating ships,,1,,,,,,,,
1853,br,"De Manara, Horace",,143, ,Applications of balloons,BA1893,Applications of balloons,,1,,,,,,,,
1853,br,"Johnson, John Henry",,179, ,Navigable balloons,BA1893,Navigable balloons,,1,,,,,,,,
1853,br,"De Normandy, Alphonse Rene Le Mire",,395, ,Articles made of Gutta-percha,BA1893,Articles made of Gutta-percha,,1,,,,,,,,
1854,br,"Aldborough, Benjamin O'Neale Stratford, Earl of",,224, ,Aerial navigation,BA1893,Aerial navigation,,1,,,,,,,,
1854,br,"Boboeuf, Pierre Alexis Francisse",,759, ,Balloons for military purposes,BA1893,Balloons for military purposes,,1,,,,,,,,
1854,br,"Aldborough, Benjamin O'Neale Stratford, Earl of",,1224, ,Locomotion on land and water,BA1893,Locomotion on land and water,,1,,,,,,,,
1854,br,"Dartiguenave, Prosper Guilhamme",,1334, ,Flying machine,BA1893,Flying machine,,1,,,,,,,,
1854,br,"Luff, Henry James",,2447, ,War balloon,BA1893,War balloon,,1,,,,,,,,
1855,br,"Johnson, John Henry",,206, ,Kites,BA1893,Kites,,1,,,,,,,,
1855,br,"Aldborough, Benjamin O'Neale Stratford, Earl of",,625, ,Aerial navigation,BA1893,Aerial navigation,,1,,,,,,,,
1855,br,"Curtis, William Joseph",,1136, ,Balloons and kites,BA1893,Balloons and kites,,1,,,,,,,,
1856,br,"Aldborough, Benjamin O'Neale Stratford, Earl of",,2062, ,Aerial navigation,BA1893,Aerial navigation,,1,,,,,,,,
1856,br,"Lassie, Jean; Finsbury, London; b. Paris",LTA,2154,,Navigable balloon,BA1893,A new system of aerial navigation,,1,,,,,,,,
1856,br,"Pellen, Marius",,2256, ,Coating for balloons,BA1893,Coating for balloons,,1,,,,,,,,
1856,br,"Carlingford, Godwin Meade Pratt Swift, Viscount",,2993, ,Flying machine,BA1893,Flying machine,,1,,,,,,,,
1857,br,"Aldborough, Benjamin O'Neale Stratford, Earl of",,1054, ,Aerial navigation,BA1893,Aerial navigation,,1,,,,,,,,
1857,br,"Clair, Joseph Etienne Marie Jean",,1581, ,Propeller,BA1893,Propeller,,1,,,,,,,,
1857,br,"Balboni, Pascal",,2483, ,Propeller,BA1893,Propeller,,1,,,,,,,,
1859,br,"Bright, Henry",helicopter,2330, ,Coaxial rotor,BA1893,Flying machines,,1,,,,,,,,
1860,br,"Smythies, John Kinnersley",,561, ,Flying machine,BA1893,Flying machine,,1,,,,,,,,
1860,br,"Henry, Michael",,1114, ,Propelling and steering,BA1893,Propelling and steering,,1,,,,,,,,
