"Sources, terms, and abbreviations referred to on Patents worksheet",,
,,
Reference abbreviation,Refers to,Notes
AJ,"Aeronautical Journal, many issues of which are online. ",British
BA1893,"Brewer and Alexander, 1893, Aeronautics, as republished in 1965 by (Dutch) publisher",Book of British aero patents
Kelly,"Kelly, Maurice. 2006.  Steam in the Air: the application of steam power in aviation during the 19th and 20th centuries.  Pen & Sword Books, Ltd.",
Lilienthal museum,The museum's Web page listing relevant patents:  http://www.lilienthal-museum.de/olma/pat_ar.htm,
Neilson,"Neilson, Robert M. 1910. Aeroplane Patents.  New York: D. Van Nostrand Company.  Online at archive.org and at google books.  (http://play.google.com/books/reader?id=1x9DAAAAIAAJ&printsec=frontcover&output=reader&hl=en) and",Book of British and US aero patents ; also describes the patent system and gives advice to inventors
Short's DB,Simine Short. Simine's U.S. Aviation Patent Database. At Gary Bradshaw's site at Mississippi State.  http://invention.psychology.msstate.edu/PatentDatabase.html,"The list was compiled using four primary sources:
1] Octave Chanute Papers, Manuscript Division, Library of Congress.
2] United States Aeronautical Patents, specifications of patents granted by the United States Patent Office. National Air & Space Museum Archive.
3] Robert Morrison Nelson (1910). Aeroplane Patents. London.
4] Official Gazette of the United States Patent Office, published weekly by the United States Patent Office, starting in 1875, ceased in 1975.
"
,,
L'Aerophile issues missing online,1-5?; 11 (1903) ; 12; ,
L'Aerophile April-May 1898 p76,http://archive.org/stream/larophile06besa#page/76/mode/1up,
L'Aerophile Sep-Oct 1898 p448,http://archive.org/stream/larophile06besa#page/148/mode/1up,
L'Aerophile Jan. 1899 p11,http://archive.org/stream/larophile07besa#page/12/mode/1up,
L'Aerophile May 1899 p60,http://archive.org/stream/larophile07besa#page/60/mode/1up,
L'Aerophile Sep 1899 p108,http://archive.org/stream/larophile07besa#page/108/mode/1up,
L'Aerophile Dec 1899 p154,http://archive.org/stream/larophile07besa#page/154/mode/1up,
L'Aerophile Aug 1900 p108,http://archive.org/stream/larophile08besa#page/108/mode/1up,
L'Aerophile Oct 1900 p144,http://archive.org/stream/larophile08besa#page/144/mode/1up,
L'Aerophile Nov 1900 p160,http://archive.org/stream/larophile08besa#page/160/mode/1up,
L'Aerophile Jan. 1901 p10,http://archive.org/stream/larophile09besa#page/9/mode/1up,
L'Aerophile May 1901 p124,http://archive.org/stream/larophile09besa#page/124/mode/1up/,
"L'Aérophile, Sep 1901, p232",http://archive.org/stream/larophile09besa#page/232/mode/1up/ ; http://archive.org/stream/larophile09besa#page/232/mode/1up/search/brevets,
"L'Aérophile, Nov 1901, p280","same, at 09besa, page/280/",
L'Aerophile 10:3 Mar. 1902 p 72,http://archive.org/stream/larophile10besa#page/72/mode/1up,
L'Aerophile Mai 1905 p119,http://archive.org/stream/larophile13besa#page/119/mode/1up/search/brevets,
L'Aerophile Jan 1909 p15,"17, 15",
"L'Aerophile Jan 15, 1909 p48","17,48",
"L'Aerophile Mars 1, 1909 p117","17,117",
"L'Aérophile Oct 1, 1909 p456","17, 456  NOT DONE WITH 1909",
"L'Aérophile Nov 15, 1909 p515",http://archive.org/stream/larophile17besa#page/515/mode/1up/search/brevets,
,,
"intermediate work, not for citation",http://econterms.net/pbmeyer/wiki/images/6/6d/Combined_patents_from_Rich.pdf,
Term,Refers to,Notes
LTA,LTA stands for lighter than air -- meaning balloons and dirigibles,
USPTO classifications,Detailed technical category information is available by working from:  http://www.uspto.gov/web/patents/classification/uspc416/defs416.htm,
